Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
27,London School of Economics and Political Science,United Kingdom,"10,910",12.1,72%,53:47:00,80.8,68,80.8,94.4,35.8,92.7
28,Carnegie Mellon University,United States,"14,163",13.5,47%,43:57:00,80.6,64.7,80,99,59,80.8
29,University of Washington,United States,"52,059",11.6,17%,54:46:00,79.8,68.8,78.8,99,46.3,61.7
30,University of Edinburgh,United Kingdom,"31,630",12.1,44%,61:39:00,78.9,66.1,74.2,95.6,40.2,95.2
30,University of Hong Kong,Hong Kong,"18,037",18.3,43%,54:46:00,78.9,66.2,72.2,95,58.5,98.8
32,LMU Munich,Germany,"34,274",33.7,18%,61:39:00,78.6,68.1,77.9,90.3,100,69.1
33,University of Melbourne,Australia,"52,098",26.5,50%,57:43:00,77.8,67.5,73.8,88.4,74.9,94
34,"University of California, San Diego",United States,"36,256",12.2,29%,48:52:00,77.7,60.5,75.6,97.9,96.6,68.1
35,King’s College London,United Kingdom,"28,250",12,49%,62:38:00,76,57.6,71.2,96.9,43.7,95.9
35,The University of Tokyo,Japan,"25,959",10.6,14%,n/a,76,86.9,90.3,58.2,88.1,42
37,University of British Columbia,Canada,"54,744",18.9,33%,55:45:00,75.8,61.6,74,89.4,47.4,94.9
38,Technical University of Munich,Germany,"32,672",38.7,33%,37 : 63,75.6,64.5,74.8,85.5,100,76.1
39,Karolinska Institute,Sweden,"7,937",9.6,24%,69:31:00,74.3,55.1,71,94.2,70.5,86.2
40,École Polytechnique Fédérale de Lausanne,Switzerland,"11,266",12.3,62%,29 : 71,74.1,63.8,67,85.5,74.9,98.3
40,Paris Sciences et Lettres – PSL Research University Paris,France,"20,547",15.1,25%,47:53:00,74.1,69.1,71.2,80.1,78.7,80.5
42,Universität Heidelberg,Germany,"19,530",13.9,19%,55:45:00,73.6,67.9,59.9,95.5,54.2,69.6
42,KU Leuven,Belgium,"46,327",36.3,16%,51:49:00,73.6,59.1,73.2,86.2,99.2,74.2
44,McGill University,Canada,"31,581",12.6,32%,59:41:00,73.4,63.3,70.9,83.9,45.3,91.5
45,Georgia Institute of Technology,United States,"27,838",25.7,25%,33 : 67,73.3,58.2,69.4,91.4,71.4,77.7
46,"Nanyang Technological University, Singapore",Singapore,"23,951",14.7,24%,48:52:00,73,57.2,70.3,85.1,87,93.9
47,University of Texas at Austin,United States,"49,845",16.7,10%,53:47:00,72.9,67.9,71.5,89.4,50.1,39.8
48,University of Illinois at Urbana-Champaign,United States,"47,202",18.3,23%,48:52:00,72.6,65.7,77.3,80.9,50,55.4
49,Chinese University of Hong Kong,Hong Kong,"18,478",19.1,25%,n/a,71.3,55.1,58.6,95,60.2,95
50,University of Manchester,United Kingdom,"36,545",14.3,43%,54:46:00,71.2,56.4,65,89.1,45.6,92.4
51,Washington University in St Louis,United States,"14,243",7.9,22%,n/a,70.7,60.5,57.5,98.5,44.9,62.1
52,University of North Carolina at Chapel Hill,United States,"31,064",8.1,8%,58:42:00,70.6,62.2,63.4,95.6,45,41.1
53,Wageningen University & Research,Netherlands,"14,871",20.2,27%,53:47:00,70.1,50.1,58.1,95.6,100,86.4
54,Australian National University,Australia,"18,934",17.6,47%,52:48:00,70,49.8,67.7,87.8,47.8,96.5
54,The University of Queensland,Australia,"41,914",35.8,41%,55:45:00,70,55,62,85.8,86.2,93.4
54,Seoul National University,South Korea,"26,871",15.4,11%,n/a,70,73.8,73.8,68.5,98.2,36.9
57,Monash University,Australia,"60,211",44.1,45%,57:43:00,69.9,54.3,61.7,87.7,79.2,91
58,The University of Sydney,Australia,"47,956",19.3,47%,59:41:00,69.8,51.8,62.2,90.5,66.1,90.9
58,University of Wisconsin-Madison,United States,"39,783",10.3,14%,n/a,69.8,67.4,69.5,79.2,47.5,50.4
60,Fudan University,China,"33,140",11.1,12%,52:48:00,69.7,66.8,68.4,79,70.7,48.6
61,Kyoto University,Japan,"22,299",9.2,11%,25 : 75,69.6,78.5,78.9,58.3,80.8,38.2
62,Boston University,United States,"27,785",11,29%,59:41:00,69.5,57.3,60.2,93.8,46.5,65.5
63,University of Southern California,United States,"42,502",13.2,24%,49:51:00,69.3,62.1,58.8,90.3,41.2,65.5
64,Brown University,United States,"9,851",10.6,20%,n/a,69.1,62.2,56.6,92.9,37.4,61.9
65,University of Amsterdam,Netherlands,"25,556",13.1,29%,58:42:00,68.9,49,63.3,91.6,41.6,89.8
66,The Hong Kong University of Science and Technology,Hong Kong,"10,147",21.3,31%,n/a,68.8,50.9,62.1,86.6,65.1,97.6
67,"University of California, Davis",United States,"37,222",13.2,19%,59:41:00,67.9,58.8,64.6,81.5,50.7,68.9
68,"University of California, Santa Barbara",United States,"25,578",28.2,19%,54:46:00,67.7,45.2,58.9,96.6,79.8,73.6
69,Utrecht University,Netherlands,"33,569",18.1,11%,59:41:00,67.6,46.6,63.1,90.1,77,76.3
70,UNSW Sydney,Australia,"48,077",40.5,44%,46:54:00,67.4,50.4,60.4,84.1,72.7,95.2
71,Leiden University,Netherlands,"31,556",19.4,19%,60:40:00,67.1,44.8,65.1,86.8,71.8,84.1
72,Erasmus University Rotterdam,Netherlands,"28,933",29.3,22%,53:47:00,67,40.2,57.8,97,76.5,88.5
73,Charité - Universitätsmedizin Berlin,Germany,"7,998",18.7,21%,64:36:00,66.8,48.6,50.6,98.7,92.2,68.1
74,Humboldt University of Berlin,Germany,"33,868",54.2,18%,n/a,66.3,59.9,66.7,73.5,41.6,70.1
75,Delft University of Technology,Netherlands,"20,133",17,31%,31 : 69,65.8,57.1,71.1,59.4,97.7,93.6
75,Zhejiang University,China,"40,352",11.8,20%,n/a,65.8,67.2,69.9,58.6,100,61.6
75,University of Zurich,Switzerland,"23,714",15,22%,57:43:00,65.8,52.2,49.6,89.4,61.9,92.5
78,University of Tübingen,Germany,"20,438",26.2,14%,59:41:00,65.4,53.3,58.7,82.9,82.7,65.2
78,University of Warwick,United Kingdom,"22,710",14.2,43%,50:50:00,65.4,46.9,53,90.7,44.8,94.5
80,University of Groningen,Netherlands,"29,440",23.8,27%,52:48:00,65.2,42.5,55.3,90.6,81.1,88.7
80,McMaster University,Canada,"26,112",30.2,20%,56:44:00,65.2,44.3,50.6,93.1,98.3,85.1
82,Emory University,United States,"13,179",4.4,20%,60:40:00,65.1,55.1,44.9,98.1,48.2,59.7
83,Free University of Berlin,Germany,"27,018",43.2,23%,61:39:00,64.8,55.4,65.2,72.9,41.9,75.7
84,Shanghai Jiao Tong University,China,"36,638",11.3,10%,43:57:00,64.7,64.2,71.9,59.3,100,47
85,Ohio State University (Main campus),United States,"55,809",12.4,13%,50:50:00,63.8,54.7,52.2,86.1,53.2,60.6
86,University of Glasgow,United Kingdom,"27,625",13.9,40%,59:41:00,63.7,41.9,49.9,94,40.7,93.1
86,University of Minnesota,United States,"61,321",12,10%,54:46:00,63.7,55.9,57.9,81.7,80.4,40.8
88,Université de Montréal,Canada,"36,524",19.6,23%,n/a,63.6,50.4,52.9,81.7,69.5,85.7
88,University of Science and Technology of China,China,"16,718",7.3,5%,n/a,63.6,63.4,61.5,72.8,70.3,34.5
88,Sorbonne University,France,"42,330",14.2,21%,58:42:00,63.6,61,53.6,76.6,38.2,70.4
91,Hong Kong Polytechnic University,Hong Kong,"21,979",26.4,29%,52:48:00,63.3,45.4,53.9,83.7,46,97.1
91,Institut Polytechnique de Paris,France,"6,087",6.9,40%,24 : 76,63.3,57.3,54.7,69,77.1,94.5
92,University of Bristol,United Kingdom,"24,110",14.4,30%,56:44:00,63.1,40.6,49.2,94.7,43.7,89.1
93,"University of Maryland, College Park",United States,"34,017",16.7,11%,48:52:00,63,49.3,56.8,89.8,39.3,42.9
93,Michigan State University,United States,"45,689",16,14%,52:48:00,63,58.1,56.1,77.2,37.7,62
96,University of Copenhagen,Denmark,"30,326",4.2,18%,61:39:00,62.7,46.8,47.1,88.8,54.4,86.8
96,Ghent University,Belgium,"38,984",35.7,11%,56:44:00,62.7,48.9,58.4,79.2,83.3,62.4
98,"University of California, Irvine",United States,"35,944",17.1,28%,51:49:00,62.4,42.5,49,93.8,52,73.2
99,Dartmouth College,United States,"6,378",7.6,15%,49:51:00,62.3,60.1,40.2,93.6,38.9,41.7
99,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,504",10.3,10%,0.888888889,62.3,64.1,66.5,59.3,100,38
101,University of Bern,Switzerland,"11,556",16.6,16%,57:43:00,62.2,45,44.9,88.2,90.6,87.3
101,University of Helsinki,Finland,"22,628",15.7,6%,67:33:00,62.2,44.3,56.9,88.5,37.8,57.3
103,University of Basel,Switzerland,"9,440",12.3,30%,56:44:00,62.1,42.9,42,89.5,99.9,97
104,Aarhus University,Denmark,"26,521",13.6,9%,55:45:00,61.7,39.3,58.4,82.4,74.9,76.9
105,University of Birmingham,United Kingdom,"31,365",14.9,32%,58:42:00,61.5,40.3,45.2,93.3,40.6,91.7
105,Nanjing University,China,"37,137",17.1,9%,52:48:00,61.5,54.9,54.6,74,86.8,56.6
105,Purdue University West Lafayette,United States,"43,411",16.6,21%,44:56:00,61.5,56.7,65.2,59.6,68.9,70.9
108,University of Freiburg,Germany,"21,416",39.7,12%,53:47:00,61.4,47.1,51.8,82.2,97.2,61.4
108,RWTH Aachen University,Germany,"45,628",55.5,25%,33 : 67,61.4,55.3,61.6,64.1,98.7,62
110,University of Sheffield,United Kingdom,"27,265",15.3,38%,52:48:00,61.3,45.5,46.4,86.3,48.8,87.8
111,University of Adelaide,Australia,"22,061",30.6,32%,49:51:00,61.2,35.6,45.2,94.3,65.5,93.7
112,University of Bonn,Germany,"27,743",49.8,16%,56:44:00,61.1,48.4,48.7,85.2,55.5,67.1
113,National Taiwan University (NTU),Taiwan,"24,810",11.4,12%,41:59:00,61,55.8,64.7,64.8,75.4,46.9
113,Vanderbilt University,United States,"12,366",3,16%,55:45:00,61,48.6,43.8,94.1,56.9,48.7
115,Vrije Universiteit Amsterdam,Netherlands,"26,593",18.6,14%,57:43:00,60.9,39.9,51.5,87.8,59.3,75.4
116,Lund University,Sweden,"28,498",11.2,19%,55:45:00,60.8,39.6,53.1,83.1,82,79.9
117,Université Paris-Saclay,France,"40,884",12.7,19%,49:51:00,60.4,51.6,47.9,80.2,56.4,68.2
117,Queen Mary University of London,United Kingdom,"19,975",13.5,46%,55:45:00,60.4,33.7,41.6,98.1,42.7,97.1
119,University of Göttingen,Germany,"30,610",26.6,14%,52:48:00,60.1,46.8,50,84.9,37.7,62.2
119,University of Oslo,Norway,"21,413",13.2,19%,66:34:00,60.1,40.5,46.5,89.5,44.3,80.4
119,Penn State (Main campus),United States,"46,513",14.1,16%,47:53:00,60.1,49.3,60.3,75.3,40.7,47.5
122,Lancaster University,United Kingdom,"13,510",12.3,37%,51:49:00,60,38.6,40.9,93.9,36.4,94.6
122,Sungkyunkwan University (SKKU),South Korea,"23,104",19.2,19%,44:56:00,60,56.9,60.2,60.7,99.4,56.3
124,University of Southampton,United Kingdom,"21,815",14.1,36%,53:47:00,59.9,39.9,42.1,90.6,43.4,94.5
125,University of Alberta,Canada,"33,475",21.9,28%,55:45:00,59.6,48.2,50.7,71.9,64.7,88.9
126,Case Western Reserve University,United States,"10,898",9.4,23%,50:50:00,59.4,47.6,41.7,91.9,41.7,53.8
127,University of Leeds,United Kingdom,"33,320",14.6,32%,61:39:00,59.2,43.7,46.5,81.1,39.8,90.3
127,Maastricht University,Netherlands,"18,159",18,55%,60:40:00,59.2,39.8,50,76.1,84.6,98.1
127,University of Virginia (Main campus),United States,"25,377",9,13%,52:48:00,59.2,49.4,41.2,90.5,43.1,51
130,Georgetown University,United States,"16,703",8.6,20%,54:46:00,59.1,55,35.3,88.8,70.2,48.9
131,Uppsala University,Sweden,"26,917",16.5,17%,58:42:00,59,38.5,55.8,78.4,71.8,71.4
132,Arizona State University (Tempe),United States,"48,255",19.7,18%,44:56:00,58.6,46.3,49.2,80.9,38.5,62.8
132,University of Hamburg,Germany,"30,953",59.8,13%,57:43:00,58.6,45.4,52.5,74.9,93.8,58.7
132,The University of Western Australia,Australia,"18,683",21.3,30%,49:51:00,58.6,34.4,43.6,88,65,95.5
136,Rice University,United States,"6,885",9.2,28%,43:57:00,58.5,47.3,37.5,87.2,44.2,77.8
137,University of Auckland,New Zealand,"32,983",22.7,32%,56:44:00,58.4,34,46.3,84.8,69.4,94.6
137,University of Vienna,Austria,"33,852",38.3,29%,66:34:00,58.4,46.9,55.4,65.4,37.8,95.4
139,Radboud University Nijmegen,Netherlands,"21,818",17.7,15%,56:44:00,58.3,35.5,50.4,85.9,44.4,74.8
139,Technical University of Berlin,Germany,"22,118",55,27%,34 : 66,58.3,50.2,55.4,64.1,96.9,66.8
140,University of Pittsburgh-Pittsburgh campus,United States,"26,841",5.6,12%,54:46:00,58.2,45.6,42.3,91.7,42.6,43.6
141,University of Nottingham,United Kingdom,"31,360",14.8,30%,54:46:00,58.1,43.6,44.2,80.1,40.5,89.2
142,University of Rochester,United States,"10,177",6.7,36%,49:51:00,57.9,44.9,39.3,86.4,50.5,73.1
143,University of Antwerp,Belgium,"15,347",30.8,17%,55:45:00,57.8,35.4,47,85.4,85.7,70.6
143,University of Exeter,United Kingdom,"22,740",16.1,28%,54:46:00,57.8,33.9,39.3,93.5,37.5,91.6
143,University of Technology Sydney,Australia,"26,955",39.6,37%,52:48:00,57.8,36.5,43.7,83.7,55,97.2
146,University of Mannheim,Germany,"7,641",57.5,25%,n/a,57.6,43,50.5,76.6,60.7,67.5
146,Newcastle University,United Kingdom,"24,630",14.5,27%,52:48:00,57.6,34.1,39.8,92.8,42.3,87.5
146,Trinity College Dublin,Ireland,"17,495",21.2,32%,60:40:00,57.6,40.4,45,79.5,42.1,95
146,Ulm University,Germany,"10,284",27.2,13%,50:50:00,57.6,39.8,38.6,92.4,85.7,56.9
150,University of Arizona,United States,"39,616",17.3,10%,53:47:00,57.5,46.6,48,82.4,50.5,41.4
151,City University of Hong Kong,Hong Kong,"9,506",10.7,56%,54:46:00,57.4,42.7,44.3,75.4,46.6,99.7
151,University of Sussex,United Kingdom,"17,405",17.6,37%,55:45:00,57.4,32.2,37.5,95.1,36.2,93.8
151,Yonsei University (Seoul campus),South Korea,"18,521",14.7,21%,49:51:00,57.4,54.9,58.2,55.7,96.9,58.6
154,University of Florida,United States,"47,007",16.3,9%,56:44:00,57.3,54.5,58.9,62,58.4,42.7
155,Université Paris Cité,France,"62,366",17,19%,64:36:00,57.2,48.8,35.5,86.5,36.3,67.7
156,Pompeu Fabra University,Spain,"11,863",22.9,13%,60:40:00,57.1,36.4,39.2,94.2,47.8,66.8
157,Wuhan University,China,"54,421",15.2,7%,n/a,56.9,43.2,37.7,92.3,80.9,39.8
158,University of Aberdeen,United Kingdom,"13,105",16.8,44%,58:42:00,56.8,32.2,35.2,94,47.1,95.8
158,University of Colorado Boulder,United States,"35,491",16.6,10%,45:55:00,56.8,43.2,42.8,88.1,43.2,47.2
158,Lomonosov Moscow State University,Russian Federation,"29,118",9.1,36%,54:46:00,56.8,80.3,69.9,12.8,99.3,72.5
158,Université Catholique de Louvain,Belgium,"26,424",39.1,20%,54:46:00,56.8,38.4,52.1,73.2,62.5,80.9
162,Durham University,United Kingdom,"17,725",15,33%,54:46:00,56.7,44.9,47.8,69.7,37.8,93.8
162,University of Ottawa,Canada,"35,791",25.4,22%,58:42:00,56.7,40.4,40.6,83.3,50,82.1
162,Southern University of Science and Technology (SUSTech),China,"4,245",8.4,1%,n/a,56.7,29.4,39.4,98.5,78.5,60.4
165,University of Würzburg,Germany,"23,374",35.6,10%,57:43:00,56.6,38.1,43.2,85.6,73.9,62.4
166,Bielefeld University,Germany,"25,182",70.6,8%,58:42:00,56.5,36.4,41.8,94.4,42.4,48.1
167,Indiana University,United States,"66,716",12.9,14%,53:47:00,56.3,48.9,46.4,74.7,52,54
168,"Northeastern University, US",United States,"20,910",14.1,36%,48:52:00,56.1,38.3,29.1,97.4,37.8,76.2
169,University of York,United Kingdom,"17,300",14.7,26%,57:43:00,56,39,43.7,79.1,37.1,86.7
170,Autonomous University of Barcelona,Spain,"31,595",12.7,16%,59:41:00,55.9,36.6,38.9,90.6,42.9,66.9
170,University of Canberra,Australia,"9,893",35.4,29%,n/a,55.9,27.9,33.8,98.6,44.2,89.8
172,University of Bologna,Italy,"68,370",24.3,12%,57:43:00,55.8,49.8,36.9,82.7,45.3,52.1
172,University of Cologne,Germany,"32,405",28.9,18%,n/a,55.8,42.2,43.7,77.1,76.9,66.7
172,TU Dresden,Germany,"30,519",32.3,17%,44:56:00,55.8,46.7,47.2,69.3,97.4,59.3
172,Tufts University,United States,"11,152",9.9,16%,56:44:00,55.8,45.6,33,91.6,39.5,50.4
176,University of Lausanne,Switzerland,"13,016",9.5,23%,n/a,55.5,32.8,45.4,77.1,78.1,92
176,Stockholm University,Sweden,"28,072",19.6,10%,n/a,55.5,30.5,49.1,84.9,36.5,69.4
178,University of Liverpool,United Kingdom,"25,910",14.6,35%,55:45:00,55.4,33.1,36.5,88.5,39.1,93.6
178,Ulsan National Institute of Science and Technology (UNIST),South Korea,"3,657",13.9,10%,26 : 74,55.4,37.7,41.1,85.4,91.8,51
180,Karlsruhe Institute of Technology,Germany,"23,224",22.6,24%,29 : 71,55.3,45.7,51.5,61.3,93.3,71.7
181,Huazhong University of Science and Technology,China,"56,709",16.2,5%,36 : 64,55.2,38.3,38.4,92.7,89.8,27.9
182,University of East Anglia,United Kingdom,"15,760",13.5,26%,59:41:00,55.1,28.3,32.5,97.9,35.9,87.5
183,University of Cape Town,South Africa,"21,757",13.3,16%,54:46:00,54.9,31.4,41.4,85.5,56.4,80.1
183,University of Notre Dame,United States,"12,234",10.8,13%,46:54:00,54.9,51.2,43.2,70.7,39.7,59
185,University of Gothenburg,Sweden,"21,033",10.6,13%,n/a,54.8,29.6,42.3,90.5,42.7,66.1
185,University of Leicester,United Kingdom,"15,030",14.1,31%,54:46:00,54.8,30,32.3,94.2,39.9,91
185,Pohang University of Science and Technology (POSTECH),South Korea,"3,183",10.1,3%,24 : 76,54.8,52.3,49.1,65.4,98,31.1
185,Technical University of Denmark,Denmark,"9,321",6.6,23%,32 : 68,54.8,39.6,40.6,72.4,86,92.2
189,Cardiff University,United Kingdom,"26,620",14.7,28%,59:41:00,54.7,31.9,36.1,89.1,39.9,87
190,King Abdulaziz University,Saudi Arabia,"32,034",7.8,22%,54:46:00,54.5,36.7,22.9,92.4,74,93.6
190,Rutgers University – New Brunswick,United States,"44,870",10.8,17%,52:48:00,54.5,46.6,47.5,70.4,47.2,52.8
192,Macquarie University,Australia,"30,249",69.6,30%,53:47:00,54.4,39,43.3,71.4,63.3,89.5
193,University of Barcelona,Spain,"45,382",16.1,11%,62:38:00,54.3,31.9,40,90.4,47.1,59.4
193,Queensland University of Technology,Australia,"36,366",40.2,18%,53:47:00,54.3,32.2,36.7,86.8,50,84.6
193,Texas A&M University,United States,"62,790",21.6,8%,47:53:00,54.3,47.4,51.1,64.6,46.5,56.1
196,Medical University of Graz,Austria,"3,733",13.3,26%,53:47:00,54.1,30.3,29.1,95.9,66.7,78
197,University of Erlangen-Nuremberg,Germany,"30,747",44.7,13%,51:49:00,54,42.2,45.7,71.5,88.7,52.8
197,University of Geneva,Switzerland,"17,744",8.2,39%,62:38:00,54,34.4,33.6,83.1,51.6,98.6
197,University of Hohenheim,Germany,"8,614",38.5,11%,58:42:00,54,34.4,31.2,97.5,48.5,51.4
197,Sapienza University of Rome,Italy,"71,992",30.6,9%,59:41:00,54,51.5,41.7,70.9,55.9,44.3
197,Scuola Normale Superiore di Pisa,Italy,581,6.9,12%,30 : 70,54,56.5,38.6,67.8,36.9,55.4
201–250,Aalborg University,Denmark,"16,519",12.8,13%,n/a,50.4–53.9,27,38,79.3,49.8,78.5
201–250,Aalto University,Finland,"12,815",19.4,24%,37 : 63,50.4–53.9,38.9,38.6,71.6,54.2,83.7
201–250,Alfaisal University,Saudi Arabia,"2,724",10.1,34%,59:41:00,50.4–53.9,20.2,21.2,99,41.7,97.3
201–250,Auckland University of Technology,New Zealand,"18,528",17.4,50%,59:41:00,50.4–53.9,20.8,21.5,98.9,37,96.2
201–250,University of Bath,United Kingdom,"14,655",15.7,34%,46:54:00,50.4–53.9,32.2,34,78.9,38.7,92.9
201–250,University of Bergen,Norway,"14,327",12.3,13%,59:41:00,50.4–53.9,28.7,30.3,91.6,37.5,78.7
201–250,Brighton and Sussex Medical School,United Kingdom,975,10.3,17%,60:40:00,50.4–53.9,21.5,24.2,100,34.8,80.6
201–250,University of Calgary,Canada,"33,099",18.2,21%,54:46:00,50.4–53.9,34.9,37.2,80.4,65.6,80.4
201–250,"University of California, Santa Cruz",United States,"19,700",24.1,13%,48:52:00,50.4–53.9,31.5,31.2,96.7,42.1,65.6
201–250,Copenhagen Business School,Denmark,"16,637",27.5,25%,48:52:00,50.4–53.9,24.1,33.4,86.2,42.4,94.5
201–250,University of Dundee,United Kingdom,"13,015",18.2,24%,63:37:00,50.4–53.9,25.4,30.7,89.1,48.9,83.2
201–250,Eindhoven University of Technology,Netherlands,"11,326",24.6,22%,n/a,50.4–53.9,44.4,48.2,56.1,99.9,83.8
201–250,Friedrich Schiller University Jena,Germany,"16,964",25.3,15%,n/a,50.4–53.9,41.4,40.7,73.5,57.1,60.5
201–250,George Washington University,United States,"23,375",12.7,18%,61:39:00,50.4–53.9,46.3,31.4,79,36,57.9
201–250,Griffith University,Australia,"35,020",29,18%,58:42:00,50.4–53.9,27.5,35.3,80.4,50.6,82.8
201–250,University of Konstanz,Germany,"11,453",50.2,13%,55:45:00,50.4–53.9,40.5,46.1,59.4,74.8,69.7
201–250,Korea University,South Korea,"22,799",13.4,23%,n/a,50.4–53.9,47.4,47,63.4,91.9,50.9
201–250,KTH Royal Institute of Technology,Sweden,"13,422",16.7,21%,34 : 66,50.4–53.9,38.8,44.7,56,69.8,90.2
201–250,La Trobe University,Australia,"26,097",33.8,39%,60:40:00,50.4–53.9,27.6,34,86.3,46.7,89.8
201–250,Université Libre de Bruxelles,Belgium,"25,743",44.8,31%,57:43:00,50.4–53.9,32.5,42.1,78.6,43.8,88.9
201–250,University of Macau,Macao,"9,874",15.1,38%,56:44:00,50.4–53.9,30.2,39.3,71.2,45.7,99.4
201–250,University of Massachusetts,United States,"62,595",13.2,15%,49:51:00,50.4–53.9,36.5,29.4,90.2,52.6,64.4
201–250,Medical University of Innsbruck,Austria,"3,168",12.1,43%,54:46:00,50.4–53.9,31,28.6,88.4,91.4,87.2
201–250,Medical University of Vienna,Austria,"7,232",8.9,30%,54:46:00,50.4–53.9,34.6,26.9,92.7,61.9,79.8
201–250,University of Miami,United States,"16,479",10.3,16%,53:47:00,50.4–53.9,45.2,32.1,75.9,47.5,59.5
201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"5,920",11.6,18%,26 : 74,50.4–53.9,51.6,44.5,51.3,99.9,61.5
201–250,University of Münster,Germany,"28,539",25.5,7%,n/a,50.4–53.9,40.3,41.5,80.7,48.1,48.7
201–250,University of Otago,New Zealand,"18,690",20.5,21%,59:41:00,50.4–53.9,31.3,34.7,77.5,39.6,90.1
201–250,University of Padua,Italy,"48,651",21.9,8%,55:45:00,50.4–53.9,41.3,33.8,80.3,40.9,49.4
201–250,Queen’s University Belfast,United Kingdom,"18,485",16,37%,57:43:00,50.4–53.9,29.3,36.3,80.3,41.3,97.2
201–250,RCSI University of Medicine and Health Sciences,Ireland,"2,488",24.9,66%,n/a,50.4–53.9,29.2,35.3,84,52.6,94.9
201–250,University of Reading,United Kingdom,"15,435",15.8,31%,57:43:00,50.4–53.9,35.9,36.7,78.8,40.4,92.6
201–250,"St George’s, University of London",United Kingdom,"3,485",13.4,21%,62:38:00,50.4–53.9,21.8,29,99.1,39.8,77.4
201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,706,10.3,21%,36 : 64,50.4–53.9,46.4,40.6,70.5,89.2,57.8
201–250,University of São Paulo,Brazil,"82,323",16.5,3%,47:53:00,50.4–53.9,55.8,58.9,43.3,42.3,35.9
201–250,Simon Fraser University,Canada,"27,015",27.9,31%,54:46:00,50.4–53.9,27.7,35,81.5,49,92.1
201–250,University of South Florida,United States,"39,779",21.4,13%,n/a,50.4–53.9,30.2,35.9,85.8,91.2,55.1
201–250,University of St Andrews,United Kingdom,"9,500",12.2,47%,58:42:00,50.4–53.9,45.2,43.8,60.2,37.7,95.5
201–250,University of Surrey,United Kingdom,"14,455",16,36%,54:46:00,50.4–53.9,31.5,34.7,75,43,94.6
201–250,Taipei Medical University,Taiwan,"6,140",9.9,10%,58:42:00,50.4–53.9,46.9,33,73.4,96.9,42.9
