Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
41,University of British Columbia,Canada,"58,987",19.4,34%,55:45:00,78,62.5,76.6,90.5,76.7,95
42,University of Illinois at Urbana-Champaign,United States,"50,250",19.6,23%,51:49:00,77.9,69.5,81.5,85.2,85.3,64
43,Shanghai Jiao Tong University,China,"38,472",12.6,9%,37 : 63,77.7,76.6,82.5,75.4,100,60.6
44,Fudan University,China,"38,101",12.6,9%,52:48:00,77.5,76.5,75.3,83.5,96,56.1
45,KU Leuven,Belgium,"49,435",37.3,19%,52:48:00,77,60.1,74.9,91.9,100,79.6
46,London School of Economics and Political Science,United Kingdom,"11,945",12.6,72%,56:44:00,76.8,59.5,73.5,95.4,55.9,94.1
47,Universität Heidelberg,Germany,"19,315",13.3,20%,55:45:00,76.7,67.7,64.3,94.6,99.3,76.4
48,Delft University of Technology,Netherlands,"21,262",15.9,30%,31 : 69,76.3,66.7,78.2,76.5,100,92.8
49,McGill University,Canada,"30,821",11.9,29%,61:39:00,76,62.3,72.3,88.8,76.1,92.5
50,Karolinska Institute,Sweden,"8,085",9.9,27%,70:30:00,75.9,58.9,67.9,95.3,96,85.7
51,University of Manchester,United Kingdom,"40,725",15.6,45%,56:44:00,75.6,61.4,67.1,93.1,73.1,95.6
52,University of Texas at Austin,United States,"48,558",16.4,8%,55:45:00,75.5,66,75.7,91,81.4,47.3
53,Chinese University of Hong Kong,Hong Kong,"18,290",18.8,25%,n/a,75.4,59.1,61.5,97.6,95.9,93.6
54,Monash University,Australia,"58,460",43.1,38%,56:44:00,75.2,55.3,67.8,94.7,99.7,91.1
55,Kyoto University,Japan,"21,817",9,11%,25 : 75,75,85.4,84.3,60,100,45.7
55,Zhejiang University,China,"48,169",12,16%,n/a,75,70.2,75.3,78.7,99,65.5
57,University of Science and Technology of China,China,"20,252",8.1,5%,n/a,74.8,74.3,66.3,88.2,95.6,45.4
58,Université Paris-Saclay,France,"31,662",13,24%,50:50:00,74.4,70.9,66.1,82.4,92.4,78.6
59,"University of California, Davis",United States,"37,926",13.3,18%,60:40:00,74.1,63.7,67.8,87.2,91.5,78.7
60,The University of Sydney,Australia,"57,414",23.1,51%,58:42:00,73.8,52.6,68.9,92,97.7,90.2
61,University of Amsterdam,Netherlands,"28,649",13.2,36%,60:40:00,73.6,55,63.1,96.7,77.6,93.2
62,Seoul National University,South Korea,"28,620",16.1,13%,n/a,73.4,74.2,75.3,74.6,100,43.7
63,University of Wisconsin-Madison,United States,"41,209",9.9,13%,n/a,73.3,68.5,67.5,85.5,79.8,62.8
64,Brown University,United States,"9,781",10.3,19%,n/a,73,69.8,59.6,89.7,69.3,72.1
64,The Hong Kong University of Science and Technology,Hong Kong,"9,794",19.9,30%,n/a,73,54,62.1,92.9,100,95.5
64,Wageningen University & Research,Netherlands,"15,899",18.1,28%,54:46:00,73,56.4,59.8,93.8,98.8,92.4
67,Australian National University,Australia,"17,293",15.1,48%,52:48:00,72.6,55.9,68,86.6,82,94.8
68,Washington University in St Louis,United States,"13,825",7.3,22%,52:48:00,72.3,60.8,57.2,97.5,77.8,72.7
69,"University of California, Santa Barbara",United States,"25,540",27.5,18%,54:46:00,72.1,47.4,64.7,96.9,99.4,84
70,The University of Queensland,Australia,"42,847",39.1,42%,55:45:00,72,52.9,64.3,89.1,99.8,94
71,Institut Polytechnique de Paris,France,"6,073",6.8,42%,25 : 75,71.3,71,61.6,70.8,98.8,97.1
72,University of North Carolina at Chapel Hill,United States,"30,782",7.7,8%,60:40:00,71.2,63.4,60.3,93.9,75.8,50.9
73,Nanjing University,China,"36,711",16.7,8%,54:46:00,70.9,64,61.7,85.3,96.8,61.8
74,University of Southern California,United States,"44,083",14.2,24%,49:51:00,70.8,59.2,58.8,92.5,74.4,74.3
75,Sorbonne University,France,"41,527",14.5,22%,60:40:00,70.5,64.7,60.8,83.7,69.5,78.8
76,Yonsei University (Seoul campus),South Korea,"18,961",13.9,17%,49:51:00,70.4,68.1,64.3,79.3,99.9,51.8
77,Leiden University,Netherlands,"35,072",19.3,21%,60:40:00,70.2,46,62.7,93,98.1,87.8
78,Boston University,United States,"26,677",10.8,29%,58:42:00,70.1,59.6,54.1,94.3,76.4,74.1
79,University of Groningen,Netherlands,"31,942",28.8,29%,53:47:00,70,47.5,57.2,94.5,99.9,93.4
80,University of Zurich,Switzerland,"25,608",14.7,24%,58:42:00,69.9,54.8,53.4,91.8,93.7,92.4
81,University of Bristol,United Kingdom,"27,335",14.8,31%,55:45:00,69.8,48.7,56.5,97.3,72.3,92.5
82,City University of Hong Kong,Hong Kong,"9,076",13.2,67%,54:46:00,69.3,52.2,52.4,91.1,100,98.7
83,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"10,130",10.7,8%,0.929861111,69.2,67.1,65.8,77.4,100,41.6
84,UNSW Sydney,Australia,"47,044",36.6,40%,47:53:00,68.9,47.2,57.4,91.1,98.6,94.5
85,University of Minnesota,United States,"59,556",11.8,9%,55:45:00,68.7,61,58.5,87.2,99.8,48.3
86,Purdue University West Lafayette,United States,"42,633",18.3,17%,44:56:00,68.5,64,65.3,71.8,84.3,76.7
87,University of Glasgow,United Kingdom,"32,270",14.4,43%,59:41:00,68.2,48.1,51.8,96.8,69.7,96.1
87,Hong Kong Polytechnic University,Hong Kong,"20,034",30.6,30%,51:49:00,68.2,45.7,54.1,94.5,87.4,96.3
87,Humboldt University of Berlin,Germany,"34,761",54.5,18%,n/a,68.2,55.3,63.7,82.8,65.4,79
90,RWTH Aachen University,Germany,"34,914",43.3,29%,34 : 66,68,54.9,64.8,78.9,100,71.2
91,University of Bonn,Germany,"26,290",44.5,17%,57:43:00,67.8,51.7,57.7,89.7,82.6,73.8
92,"University of California, Irvine",United States,"35,675",16.2,26%,53:47:00,67.4,47.1,53.8,93.2,96.1,80.9
92,Vanderbilt University,United States,"12,971",3.9,17%,55:45:00,67.4,54.1,48.5,96,96.5,62.9
94,Charité - Universitätsmedizin Berlin,Germany,"8,868",17.5,21%,65:35:00,67.2,47.5,49.1,97.7,100,75.2
95,Lomonosov Moscow State University,Russian Federation,"32,680",9.6,37%,50:50:00,67,87.5,75.2,33.9,91.1,73.8
95,University of Tübingen,Germany,"21,632",27.1,14%,59:41:00,67,49.1,56.5,89,99.8,72
97,KTH Royal Institute of Technology,Sweden,"13,269",15.9,26%,34 : 66,66.9,53.5,57.8,81,97.7,82.5
97,University of Southampton,United Kingdom,"19,920",13,35%,51:49:00,66.9,48.9,50.1,92.7,73.1,96.5
99,Erasmus University Rotterdam,Netherlands,"33,874",36,25%,54:46:00,66.7,38.5,54.1,96.9,94.7,90.6
99,Ohio State University (Main campus),United States,"55,538",11.4,11%,51:49:00,66.7,55.8,52.7,88.4,85,67.3
101,University of Birmingham,United Kingdom,"32,625",15.2,32%,58:42:00,66.6,46.1,49.3,95.5,72.1,95.1
102,Free University of Berlin,Germany,"25,427",41.5,20%,63:37:00,66.5,52.1,59.7,82.5,71.6,82.4
103,University of Copenhagen,Denmark,"31,728",4.3,14%,62:38:00,66.3,49.2,51.1,91.3,89.5,80.1
103,McMaster University,Canada,"28,254",30.9,22%,56:44:00,66.3,43.8,51.3,93,100,87.3
105,University of Sheffield,United Kingdom,"27,860",15.4,40%,53:47:00,66.2,48,49.5,92.3,77.5,92
106,Emory University,United States,"13,127",4,19%,61:39:00,66.1,53.1,45.7,95.5,81.6,69.3
106,Lund University,Sweden,"30,349",12,18%,56:44:00,66.1,46.7,56.6,86.6,99.8,79.8
106,University of Warwick,United Kingdom,"24,905",14.4,44%,50:50:00,66.1,48.1,52.1,89,70.5,96.4
109,Aarhus University,Denmark,"26,996",13.5,9%,56:44:00,65.9,44.9,59,86.3,98.7,76.3
109,University of Alberta,Canada,"33,730",22.8,27%,n/a,65.9,50.1,55.5,80.9,99.9,90.7
111,University of Adelaide,Australia,"23,792",36.4,31%,49:51:00,65.8,42.4,50.6,92.8,95,92.9
111,University of Göttingen,Germany,"23,349",27.4,14%,53:47:00,65.8,50,54.8,90.1,70.8,70.7
111,Université de Montréal,Canada,"39,935",20.5,22%,n/a,65.8,51.2,54.1,81.7,96.6,87.7
114,"University of Maryland, College Park",United States,"33,988",17,9%,49:51:00,65.7,49.4,58.1,92.8,70.2,48.6
115,Ghent University,Belgium,"41,487",37.6,12%,57:43:00,65.6,47.2,59.3,85.3,99.7,65.7
116,University of Bern,Switzerland,"12,399",18.2,16%,59:41:00,65.4,45.1,47,93.3,99.2,87
116,Michigan State University,United States,"44,514",16.1,11%,52:48:00,65.4,54.8,52.3,86.2,70,71.4
118,Texas A&M University,United States,"64,427",20.5,6%,47:53:00,65.3,55.2,62.1,77.3,76.4,64.1
119,Rice University,United States,"7,318",9.8,26%,42:58:00,65.2,56.4,45.6,86.5,73.9,85.8
119,University of Vienna,Austria,"31,318",37.4,31%,66:34:00,65.2,48.7,60.3,77.4,75.9,94.9
121,University of Helsinki,Finland,"22,887",15.9,5%,67:33:00,65.1,48.1,57.6,90.6,69.2,56.7
122,Penn State (Main campus),United States,"45,875",14.2,15%,48:52:00,65,53.1,58.7,83.7,70.4,58.4
123,University of Basel,Switzerland,"8,536",10.4,31%,56:44:00,64.9,50.8,42.9,87.7,99.4,95.4
123,University of Massachusetts,United States,"63,500",13.3,14%,50:50:00,64.9,54,46.9,87.3,85.6,77.3
125,Vrije Universiteit Amsterdam,Netherlands,"31,704",19.2,18%,57:43:00,64.7,40.4,51,93.4,91.5,84.3
126,Technical University of Denmark,Denmark,"10,410",7.7,28%,32 : 68,64.6,50.7,47.4,83.2,99.7,92.2
127,University of Oslo,Norway,"20,967",12.5,15%,66:34:00,64.3,45.6,50.6,92.1,72.3,75.6
128,University of Freiburg,Germany,"19,417",34.4,17%,53:47:00,64.1,46.7,51.3,86.2,100,74.2
129,University of Leeds,United Kingdom,"33,450",14.4,32%,59:41:00,63.9,46.1,49.1,87.3,68.8,94.6
130,University of Nottingham,United Kingdom,"33,520",16,27%,54:46:00,63.8,45.6,45.9,90.6,71.2,92.8
130,Tohoku University,Japan,"17,409",11.8,12%,28 : 72,63.8,67.8,66.4,53.8,99.9,58.5
132,University of Florida,United States,"48,114",16.7,9%,56:44:00,63.7,55.5,56.7,78.3,88.9,50.9
133,University of Rochester,United States,"9,855",7.3,34%,50:50:00,63.6,50.8,42.9,88.3,89,81.7
134,Trinity College Dublin,Ireland,"18,778",22.2,34%,61:39:00,63.2,44,48.4,87.6,76.6,91.4
135,Queen Mary University of London,United Kingdom,"22,205",14.6,45%,54:46:00,63.1,37.6,42.6,97.9,73.9,98.1
136,University of Hamburg,Germany,"29,240",58.5,13%,58:42:00,63,44.7,53.3,84.8,98.6,65.7
136,Technical University of Berlin,Germany,"20,425",49.6,29%,35 : 65,63,47.8,55.6,78.1,99.9,71.3
138,University of Colorado Boulder,United States,"35,844",16.5,8%,45:55:00,62.9,46.5,51.9,88.6,82.8,56.6
138,Maastricht University,Netherlands,"21,337",19.6,57%,60:40:00,62.9,41.4,47.1,86.1,98.1,97.4
140,Karlsruhe Institute of Technology,Germany,"21,448",20.5,25%,29 : 71,62.8,49.9,56.8,72.5,99.9,77.6
140,Radboud University Nijmegen,Netherlands,"23,004",18.2,12%,57:43:00,62.8,39.1,51,91.3,81.4,77.7
140,Uppsala University,Sweden,"24,749",13.3,17%,60:40:00,62.8,43.9,55,81.3,97.7,74.7
143,University of Lausanne,Switzerland,"14,478",10.5,23%,n/a,62.7,41.7,46.3,87.3,99.5,90.4
143,The University of Western Australia,Australia,"19,382",22.4,26%,50:50:00,62.7,37.7,48.6,88.7,97.2,93.5
145,University of Pittsburgh-Pittsburgh campus,United States,"26,305",5.4,10%,56:44:00,62.5,49.1,46.1,92.4,76.1,50.9
145,Sungkyunkwan University (SKKU),South Korea,"23,402",19.4,19%,n/a,62.5,55.5,54.2,72.9,98.8,61.3
147,University of York,United Kingdom,"19,505",16.1,31%,56:44:00,62.4,42.4,44.8,90.8,66.9,93.1
148,University of Technology Sydney,Australia,"28,223",37.4,25%,50:50:00,62.3,36.2,43.3,95.9,78.9,94.3
149,Pohang University of Science and Technology (POSTECH),South Korea,"3,300",10.5,5%,n/a,62.2,58.1,51.5,77.2,100,40
150,University of Auckland,New Zealand,"35,663",24.4,31%,57:43:00,62,39.7,45.7,88.3,95.8,89.9
150,Sichuan University,China,"49,117",15.9,5%,n/a,62,59.1,57.3,69.3,93.2,46.1
152,University of Barcelona,Spain,"44,365",15.3,11%,64:36:00,61.9,42.4,47.3,91.4,83.9,65.2
152,National Taiwan University (NTU),Taiwan,"24,744",11.1,13%,41:59:00,61.9,57.3,54.8,70.8,99.9,51.2
152,Université Paris Cité,France,"61,690",16.9,18%,66:34:00,61.9,47.9,42.7,90.6,68.3,73.2
155,University of Arizona,United States,"45,517",19.9,7%,56:44:00,61.8,48.7,51.3,85.7,84,47
155,University of Bologna,Italy,"74,105",24.7,11%,57:43:00,61.8,53,44.6,86.5,79.4,54.3
155,Lancaster University,United Kingdom,"15,385",13.9,38%,51:49:00,61.8,40.2,40.7,93.9,66.6,96.8
158,Huazhong University of Science and Technology,China,"57,663",15.5,4%,n/a,61.7,48.8,48.1,90,96.9,32.9
158,University of Waterloo,Canada,"36,904",24.2,23%,47:53:00,61.7,42.2,49.3,83.7,78.3,89.3
160,University of Cologne,Germany,"31,299",28.7,17%,n/a,61.5,42.9,47.1,85.6,98.8,73.3
161,University of Antwerp,Belgium,"16,168",31.8,17%,56:44:00,61.4,38.2,44.4,92.5,98.4,74.7
161,Dartmouth College,United States,"6,226",7.4,16%,49:51:00,61.4,57.3,40.7,84.7,68.4,60.2
161,TU Dresden,Germany,"29,719",29.4,17%,45:55:00,61.4,46.6,51.1,79.3,99.7,67.9
164,Case Western Reserve University,United States,"10,294",8.8,25%,51:49:00,61.3,51.7,40.2,88.7,71.4,65
164,Wuhan University,China,"56,066",15,5%,n/a,61.3,50.9,45,88.5,90.6,41
166,University of Virginia (Main campus),United States,"25,953",8.9,11%,54:46:00,61.1,51.1,40.1,88.9,79.9,60.8
167,University of Cape Town,South Africa,"21,961",13.6,13%,54:46:00,60.9,38.7,47,88.3,78.2,82.9
168,Université Catholique de Louvain,Belgium,"25,409",37.3,20%,54:46:00,60.8,39.5,49.4,83.1,92,83.1
168,Eindhoven University of Technology,Netherlands,"10,611",21.4,27%,n/a,60.8,47.4,51.5,71.3,100,87.3
168,Harbin Institute of Technology,China,"30,933",10.6,6%,n/a,60.8,58.8,55.1,70.9,91.2,33.9
168,University of Liverpool,United Kingdom,"25,955",14.2,32%,54:46:00,60.8,38.4,40.2,93.4,64.9,96.4
168,Newcastle University,United Kingdom,"25,650",14.8,26%,53:47:00,60.8,37.2,41.1,93.8,72.1,91.3
168,Scuola Normale Superiore di Pisa,Italy,614,7.4,11%,29 : 71,60.8,60.1,42.6,82.9,34.9,59.3
174,Durham University,United Kingdom,"19,575",14,32%,54:46:00,60.6,43.5,44.5,83.5,65.6,95.8
175,Osaka University,Japan,"22,274",10.4,10%,32 : 68,60.4,62.5,65.7,50.5,100,51
175,University of Würzburg,Germany,"23,637",38.3,12%,59:41:00,60.4,40.3,43.4,90.8,99.6,63.2
177,Beijing Normal University,China,"26,439",14.4,9%,n/a,60.2,57.7,45.8,77.5,67.6,52.3
177,University of Exeter,United Kingdom,"27,190",16.6,28%,53:47:00,60.2,33.5,42.5,95.7,52.2,95.5
177,University of Ottawa,Canada,"38,366",27.2,26%,59:41:00,60.2,39.6,46.5,84.4,80.2,86.9
180,Macquarie University,Australia,"30,371",51.7,22%,n/a,60.1,36.7,44.2,87.4,90.9,88.6
181,Sapienza University of Rome,Italy,"60,522",22.2,9%,61:39:00,60,53.5,48.1,77.9,85.4,46.5
182,Arizona State University (Tempe),United States,"48,870",19.7,14%,46:54:00,59.9,40.9,46.2,87.5,71.5,71.7
183,University of Geneva,Switzerland,"18,865",8.4,40%,62:38:00,59.8,41.8,38,86.7,80.7,97.1
184,University of Twente,Netherlands,"9,964",13.9,38%,37 : 63,59.7,43.4,46,75.1,99.6,93.3
185,Stockholm University,Sweden,"29,774",20.3,13%,n/a,59.6,32.1,49.6,91,59.2,81.2
185,Tongji University,China,"31,632",11.3,15%,41:59:00,59.6,50,53.6,69.5,85.4,67.7
187,Georgetown University,United States,"17,508",10.1,18%,55:45:00,59.5,52.6,37,85.1,92.2,53.2
187,University of Mannheim,Germany,"7,475",57.1,14%,52:48:00,59.5,36.5,45.4,90.2,93.6,63.7
189,Chalmers University of Technology,Sweden,"10,103",15.4,17%,32 : 68,59.4,42.7,46.6,79.4,97.1,74.1
190,Cardiff University,United Kingdom,"28,815",15,27%,58:42:00,59.3,35.5,39.6,91.9,70.4,92.5
191,Tokyo Institute of Technology,Japan,"9,928",9.6,17%,0.725,59.2,59.5,63.3,49.4,100,60.1
191,Tufts University,United States,"11,611",10.5,16%,57:43:00,59.2,51.5,35,87.5,71.7,62.8
193,University of Erlangen-Nuremberg,Germany,"29,467",41.9,13%,51:49:00,59,42.6,48.1,79.7,100,61
193,University of Macau,Macao,"10,908",18.6,41%,54:46:00,59,38.4,38.1,90.3,61.9,93.7
193,University of Münster,Germany,"27,529",25.1,5%,n/a,59,43.8,47.3,83.7,81.5,53.5
193,University of St Andrews,United Kingdom,"10,325",12.4,46%,58:42:00,59,46,42.6,77.7,63.6,95.8
193,Ulm University,Germany,"10,301",26.4,13%,51:49:00,59,40.6,41.2,87.9,99.6,63
198,Indiana University,United States,"66,389",12.3,12%,54:46:00,58.9,47.3,38.4,84.9,85.8,64.7
199,University of Notre Dame,United States,"12,576",10.9,12%,47:53:00,58.7,51.9,42.6,76.1,72.9,69.9
199,Queensland University of Technology,Australia,"35,164",37.9,14%,54:46:00,58.7,33.9,42.1,89.5,85.9,82.2
199,Ulsan National Institute of Science and Technology (UNIST),South Korea,"3,799",11.8,9%,28 : 72,58.7,47.7,40.8,85,94.6,46.5
201–250,Aalborg University,Denmark,"17,275",14.9,12%,n/a,55.9–58.6,33.7,45,83,80.6,72.4
201–250,Aalto University,Finland,"14,427",20.4,23%,39 : 61,55.9–58.6,42,43.1,79.7,87.2,81.8
201–250,University of Aberdeen,United Kingdom,"12,755",15.3,40%,58:42:00,55.9–58.6,36.4,35.8,81.8,78.9,97.5
201–250,Abu Dhabi University,United Arab Emirates,"2,506",10.9,60%,51:49:00,55.9–58.6,48.2,30,85.8,25.5,97.8
201–250,Autonomous University of Barcelona,Spain,"32,901",13.2,13%,60:40:00,55.9–58.6,45.1,41.4,84.8,67.6,68.8
201–250,University of Calgary,Canada,"34,012",18.8,24%,54:46:00,55.9–58.6,36.5,41.4,81.7,88.8,85.2
201–250,"University of California, Santa Cruz",United States,"19,154",24.2,12%,47:53:00,55.9–58.6,34.9,39.8,93.3,73.2,77.9
201–250,Curtin University,Australia,"29,283",20.8,29%,53:47:00,55.9–58.6,30.2,36.5,87.5,78.8,94.7
201–250,Friedrich Schiller University Jena,Germany,"16,048",18.9,14%,n/a,55.9–58.6,43.2,42,81.8,79.8,69.3
201–250,George Washington University,United States,"22,211",13,14%,62:38:00,55.9–58.6,48.2,35.7,86,67.3,66.1
201–250,Goethe University Frankfurt,Germany,"28,572",14.5,14%,59:41:00,55.9–58.6,40.2,38.2,82.4,74.6,70.8
201–250,University of Gothenburg,Sweden,"21,698",11.9,13%,n/a,55.9–58.6,34,43.4,90.2,75.4,65.7
201–250,University of Hawai’i at Mānoa,United States,"14,936",11.3,10%,57:43:00,55.9–58.6,42,42.5,75.8,68.3,77.3
201–250,University of Illinois Chicago,United States,"28,868",11.4,18%,54:46:00,55.9–58.6,50.3,33.9,80,76.7,61
201–250,Indian Institute of Science,India,"4,495",9.6,1%,27 : 73,55.9–58.6,62.9,57.8,53.9,96,31.1
201–250,University of Iowa,United States,"28,583",10.9,6%,55:45:00,55.9–58.6,46.1,37,79.9,88.6,55.8
201–250,King Fahd University of Petroleum and Minerals,Saudi Arabia,"6,801",8.5,15%,0.397222222,55.9–58.6,37.6,38.7,86.3,90.9,84.8
201–250,Korea University,South Korea,"22,324",16.3,31%,n/a,55.9–58.6,48.6,46.6,72,99.7,62.5
201–250,University of Leicester,United Kingdom,"14,000",13.9,31%,54:46:00,55.9–58.6,33.4,34.2,95.5,67.9,95.1
201–250,Université Libre de Bruxelles,Belgium,"30,287",51.7,30%,58:42:00,55.9–58.6,35.8,45,83.5,76.4,89.6
201–250,University of Luxembourg,Luxembourg,"5,599",21.3,49%,53:47:00,55.9–58.6,39.6,39.4,78.1,63,93.2
201–250,Medical University of Graz,Austria,"4,027",15.5,29%,54:46:00,55.9–58.6,32,33.5,91.6,94.9,81.9
201–250,Medical University of Vienna,Austria,"7,271",8.4,30%,54:46:00,55.9–58.6,40,28.7,93.5,94.1,81.7
201–250,University of Miami,United States,"17,060",10.4,14%,54:46:00,55.9–58.6,48.5,34.7,83.2,80.4,67.5
201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"6,111",11.6,21%,n/a,55.9–58.6,63.5,48.8,55.1,68.6,72.7
201–250,Nagoya University,Japan,"15,224",13,12%,30 : 70,55.9–58.6,55.3,55.7,54.3,99.5,41.9
201–250,University of Newcastle,Australia,"24,608",31.3,16%,57:43:00,55.9–58.6,33.8,38.8,85.5,76.5,83.4
201–250,"Northeastern University, US",United States,"22,269",14.1,32%,49:51:00,55.9–58.6,40.2,33.6,93.3,68.9,83.3
201–250,University of Padua,Italy,"44,401",26.5,7%,56:44:00,55.9–58.6,46.1,38.5,84.1,77.1,53.1
201–250,Politecnico di Milano,Italy,"38,978",25.7,19%,35 : 65,55.9–58.6,42.9,49.7,71.9,95.3,65.3
201–250,Pompeu Fabra University,Spain,"12,173",22.7,13%,61:39:00,55.9–58.6,35.9,38.3,90.5,78.4,74.7
201–250,University of Potsdam,Germany,"14,330",38.1,16%,57:43:00,55.9–58.6,37.3,44.7,80.4,91,68.5
201–250,Queen’s University Belfast,United Kingdom,"20,895",17.2,41%,57:43:00,55.9–58.6,34,38,88.7,65,98.4
201–250,University of Reading,United Kingdom,"15,945",16.6,31%,55:45:00,55.9–58.6,37.5,40.6,84.1,70.8,95.5
201–250,Rutgers University – New Brunswick,United States,"46,256",11.2,17%,53:47:00,55.9–58.6,46.4,37.2,78.4,80.1,63.7
201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,718,7.4,20%,37 : 63,55.9–58.6,50.4,39,80.1,90.3,60.8
201–250,University of São Paulo,Brazil,"83,182",13.9,2%,47:53:00,55.9–58.6,59.8,60.7,57.3,68.2,42.5
201–250,Southern University of Science and Technology (SUSTech),China,"6,575",9,1%,n/a,55.9–58.6,32.9,40.8,92.8,60.3,69.3
201–250,Sun Yat-sen University,China,"61,453",15.2,5%,48:52:00,55.9–58.6,46.6,39.5,83.2,86.2,39.1
201–250,University of Sussex,United Kingdom,"17,640",17.3,34%,55:45:00,55.9–58.6,29.7,35.6,92.7,66.1,95.4
201–250,Swinburne University of Technology,Australia,"14,324",28.5,24%,42:58:00,55.9–58.6,31.7,34,91.3,75.4,85.6
201–250,Tel Aviv University,Israel,"24,995",24.2,5%,57:43:00,55.9–58.6,40.7,49.7,83,76.2,52.9
