Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook
127,Maastricht University,Netherlands,"16,857",18.6,54%,60:40:00,59,40.2,48.3,77,82.9,97.6
128,Radboud University Nijmegen,Netherlands,"20,024",17.5,14%,55:45:00,58.9,36,49.9,88.2,46.2,73
128,University of York,United Kingdom,"16,060",14.9,24%,56:44:00,58.9,40.3,46.6,85.1,36.4,85.4
130,Université Paris Cité,France,"61,390",15.5,17%,64:36:00,58.8,52,36.1,88.3,35.6,66.6
131,University of Oslo,Norway,"20,783",12.6,17%,62:38:00,58.7,39.6,43.8,90,40.7,75.5
131,The University of Western Australia,Australia,"18,400",23.2,29%,49:51:00,58.7,32.5,43.9,91,57,94.3
133,Durham University,United Kingdom,"16,965",14.8,30%,55:45:00,58.5,45.5,47.8,75.5,37.9,91.7
134,Indiana University,United States,"66,872",13.6,15%,52:48:00,58.4,50.8,49.7,76.7,49.8,53.5
134,University of Vienna,Austria,"33,547",40.2,27%,66:34:00,58.4,48.1,55.3,64.6,37.1,94.2
136,University of Alberta,Canada,"31,919",21,26%,55:45:00,58.2,47.9,48.8,70.3,60.5,87.5
136,University of Cape Town,South Africa,"21,812",11.9,17%,53:47:00,58.2,33.2,42.8,90.3,85.3,81.8
138,Vrije Universiteit Amsterdam,Netherlands,"23,025",16.5,10%,58:42:00,58.1,35.7,48.1,88.4,52.5,68.8
139,Lancaster University,United Kingdom,"12,655",12.5,38%,51:49:00,58,34.7,39.4,92.5,36,94.2
139,Tufts University,United States,"11,017",9.8,16%,55:45:00,58,49.1,34.2,94.4,38.6,49.6
141,University of Ottawa,Canada,"35,365",24.7,19%,59:41:00,57.9,41.3,42,86.2,46.5,77.7
141,Ulm University,Germany,"10,629",27.7,13%,48:52:00,57.9,40.6,36.6,94.9,75.7,57.5
143,Pompeu Fabra University,Spain,"11,636",21.6,13%,60:40:00,57.8,37.7,40.1,94.4,44.5,66.5
144,University of Geneva,Switzerland,"16,935",15.6,39%,61:39:00,57.6,38.1,43.7,80.4,63.3,98.4
144,Nanjing University,China,"34,569",15.5,10%,44:56:00,57.6,50.7,48,71.8,84.9,57.8
146,University of Exeter,United Kingdom,"21,450",17.6,28%,54:46:00,57.4,33.9,38.9,92.4,37.8,91.9
146,Pohang University of Science and Technology (POSTECH),South Korea,"3,215",10.3,3%,1.011805556,57.4,51.7,50.9,72.2,99.6,32.9
146,University of Sussex,United Kingdom,"14,980",16.1,39%,54:46:00,57.4,35.3,37.9,91.8,35.9,93.6
149,University of Hamburg,Germany,"30,375",59.3,12%,56:44:00,57.3,44.4,49.8,74,98.5,58.1
149,Sant’Anna School of Advanced Studies – Pisa,Italy,776,12.4,19%,35 : 65,57.3,45,42.3,82.5,84.7,56
149,Technical University of Berlin,Germany,"22,622",60.6,24%,34 : 66,57.3,50.4,53.9,62.3,92.7,66.2
152,Université Catholique de Louvain,Belgium,"26,235",39.3,20%,53:47:00,57.2,38.8,51.5,75.7,53.7,80.5
152,University of Nottingham,United Kingdom,"29,700",14.6,29%,54:46:00,57.2,42.7,42.6,80.3,39.4,87.5
152,Scuola Normale Superiore di Pisa,Italy,558,6.8,11%,29 : 71,57.2,57.2,38.1,79.2,35.9,52.8
155,Arizona State University (Tempe),United States,"46,683",21.1,21%,43:57:00,57.1,39.3,50.7,81.6,38.5,61.8
155,University of Leeds,United Kingdom,"30,235",14.2,29%,61:39:00,57.1,41.1,45.9,78,39.9,87.5
157,Autonomous University of Barcelona,Spain,"31,877",12.6,16%,59:41:00,56.9,40.9,36.1,92.9,44.8,64.3
157,University of Cologne,Germany,"36,965",36.5,16%,63:37:00,56.9,43.6,42.9,81.5,70.6,62.9
157,University of Mannheim,Germany,"10,730",79.9,18%,56:44:00,56.9,41.9,50,78.2,58.6,58.5
157,University of Notre Dame,United States,"12,104",13.7,12%,45:55:00,56.9,52.9,46.2,73.5,38.1,55.3
157,Shanghai Jiao Tong University,China,"38,853",11.1,13%,44:56:00,56.9,58,63,47.9,99.9,49.8
157,TU Dresden,Germany,"32,309",34.2,14%,42:58:00,56.9,46.5,48.5,73,94.1,55.8
163,University of Würzburg,Germany,"24,082",36.6,10%,56:44:00,56.8,38.7,42.4,87.5,65.6,61.5
164,Trinity College Dublin,Ireland,"16,853",21.9,30%,59:41:00,56.4,41.7,43.9,75.4,41.2,94.4
165,University of Liverpool,United Kingdom,"23,055",13.8,33%,55:45:00,56.3,35.2,37.5,88.8,38.8,92.2
166,Bielefeld University,Germany,"24,875",77.5,8%,57:43:00,56.1,36.1,42.7,91.1,59.4,48.6
166,University of Leicester,United Kingdom,"14,645",14.3,32%,53:47:00,56.1,30.1,34.8,96.2,38.1,90.7
168,University of Aberdeen,United Kingdom,"12,400",15.7,39%,57:43:00,56,30.4,33.3,95.2,45.8,95.7
168,University of Bologna,Italy,"65,819",24,12%,56:44:00,56,51.5,34.8,83.8,45.1,50.7
168,Rutgers University – New Brunswick,United States,"44,801",11.2,17%,52:48:00,56,47.8,48.5,73.9,41.1,51.5
171,Hong Kong Polytechnic University,Hong Kong,"20,388",23.1,25%,52:48:00,55.9,41,46.6,71.8,42.3,94.1
172,University of Alabama at Birmingham,United States,"16,927",16.7,6%,62:38:00,55.7,39.2,33.6,97.3,74.8,37.4
173,"Northeastern University, US",United States,"19,575",13.9,35%,49:51:00,55.6,38,27.9,97.5,38,75
173,University of Rochester,United States,"9,824",4.2,31%,49:51:00,55.6,43.4,30.3,91.4,40.9,67.2
175,University of Florida,United States,"46,642",16.8,10%,55:45:00,55.4,54,53.8,61.9,57.9,40
175,Karlsruhe Institute of Technology,Germany,"27,255",25.6,22%,28 : 72,55.4,45.4,47.8,66.5,91.3,69.1
175,Stockholm University,Sweden,"27,185",19.5,14%,n/a,55.4,30,46.4,85,36.6,81.3
178,Texas A&M University,United States,"60,818",24.8,8%,47:53:00,55.3,49.3,54.8,62.8,45.3,54.3
179,University of Auckland,New Zealand,"32,821",22.1,32%,56:44:00,55.2,31.4,43.9,80.2,62.4,94
179,"University of California, Santa Cruz",United States,"18,783",23,10%,50:50:00,55.2,33.1,34.9,97.7,39.1,60.6
179,Korea University,South Korea,"22,965",16,22%,n/a,55.2,48.4,50.2,64.5,93.9,52
179,Queensland University of Technology,Australia,"34,871",38.2,16%,54:46:00,55.2,31.9,40.3,86.4,62.4,81.4
183,University of Erlangen-Nuremberg,Germany,"38,111",57,12%,48:52:00,54.9,41.1,45.8,75.2,89.6,52.9
184,Aalto University,Finland,"12,195",18.6,26%,34 : 66,54.8,41.8,39.4,76.7,48.3,82.3
184,Technical University of Denmark,Denmark,"9,265",6.6,25%,30 : 70,54.8,39.4,40.2,73.8,71.6,92.8
186,Eindhoven University of Technology,Netherlands,"8,917",20.7,19%,n/a,54.7,44.6,48.8,61,99.8,78.3
186,University of Gothenburg,Sweden,"19,677",10.2,13%,n/a,54.7,27.5,41.5,93.5,40.1,65.7
188,Télécom Paris,France,923,5.6,39%,0.929861111,54.6,42.6,38.3,74.4,76.6,81.7
189,Lomonosov Moscow State University,Russian Federation,"29,235",7.3,29%,48:52:00,54.3,78.2,63,15.6,90.7,66.6
189,University of Münster,Germany,"43,835",43.4,8%,n/a,54.3,41,42.5,81.3,47.5,48.7
189,Tel Aviv University,Israel,"22,414",22.3,7%,55:45:00,54.3,41.3,51.3,71.2,41.8,54.7
192,University of East Anglia,United Kingdom,"15,195",13.9,28%,60:40:00,54.2,28.3,30.1,97.2,35.7,87.7
193,University of Canberra,Australia,"10,823",36.2,32%,n/a,54.1,25.2,31.1,99.2,38.6,86.9
194,University of Duisburg-Essen,Germany,"42,698",53,19%,48:52:00,54,34.4,32.8,91.8,71.6,60
194,University of Technology Sydney,Australia,"26,385",43.4,34%,51:49:00,54,33.5,42.9,75.3,50.3,96.1
194,University of the Witwatersrand,South Africa,"28,521",26.3,8%,56:44:00,54,31.2,43.2,78.8,100,73.7
197,Yonsei University (Seoul campus),South Korea,"17,744",14.6,22%,47:53:00,53.9,51.2,52.6,53,98.9,58.4
198,University of Antwerp,Belgium,"15,166",29.3,17%,55:45:00,53.8,35.6,44.5,75.8,72.2,69.6
198,Cardiff University,United Kingdom,"25,500",13.5,27%,59:41:00,53.8,32.5,35.5,87.1,37.8,85.1
198,George Washington University,United States,"23,488",13.1,18%,60:40:00,53.8,48.6,32.4,81.5,35,55.5
198,University of Lausanne,Switzerland,"12,197",9.6,24%,n/a,53.8,33.1,44.2,73.3,67.8,92.7
198,University of St Andrews,United Kingdom,"9,215",12.7,46%,58:42:00,53.8,42.2,41.8,67.8,37.6,96.6
201–250,Aalborg University,Denmark,"16,340",13.6,15%,n/a,50.1–53.7,28.5,39.1,87.1,48,75.1
201–250,University of Barcelona,Spain,"46,214",11.8,10%,62:38:00,50.1–53.7,37.3,32.5,87.6,41.2,54.7
201–250,University of Bergen,Norway,"14,007",12.5,14%,60:40:00,50.1–53.7,29.5,29.4,94.1,37.1,78.3
201–250,Brandeis University,United States,"5,375",12.2,27%,57:43:00,50.1–53.7,28.5,22.9,100,35.6,53.4
201–250,University of Calgary,Canada,"28,560",16,19%,n/a,50.1–53.7,33.9,34.2,84.7,48.1,77.2
201–250,Copenhagen Business School,Denmark,"16,317",30.9,25%,48:52:00,50.1–53.7,25.3,32.4,83.7,43.6,92.2
201–250,University of Dundee,United Kingdom,"12,120",17.6,22%,63:37:00,50.1–53.7,24.8,31.2,90.5,46.5,80.4
201–250,École Normale Supérieure de Lyon,France,"2,362",8.9,13%,48:52:00,50.1–53.7,45.2,43.5,63.9,47,70.7
201–250,Griffith University,Australia,"34,120",23.6,17%,58:42:00,50.1–53.7,25.5,32.7,86,42,81.8
201–250,University of Hawai’i at Mānoa,United States,"15,054",10.8,10%,57:43:00,50.1–53.7,36.3,38.9,73.8,51.5,65.5
201–250,Hebrew University of Jerusalem,Israel,"16,137",12,5%,56:44:00,50.1–53.7,48.2,45.1,62.3,41.4,60.3
201–250,University of Hohenheim,Germany,"9,234",37.8,15%,57:43:00,50.1–53.7,34.4,31,92,50,55.7
201–250,Howard University,United States,"8,449",7.5,8%,65:35:00,50.1–53.7,42.8,15.3,99,34.4,34
201–250,University of Iowa,United States,"28,945",11.6,12%,52:48:00,50.1–53.7,43.1,29.5,82.3,54,46.5
201–250,James Cook University,Australia,"11,491",21.2,11%,63:37:00,50.1–53.7,23.3,28.4,93.3,45.9,75.7
201–250,King Abdulaziz University,Saudi Arabia,"32,853",7.9,21%,54:46:00,50.1–53.7,29.5,16.5,96.4,78.9,93.1
201–250,University of Konstanz,Germany,"11,387",56.1,13%,55:45:00,50.1–53.7,38.8,44.2,66.4,72.1,65.6
201–250,KTH Royal Institute of Technology,Sweden,"12,659",15.7,20%,33 : 67,50.1–53.7,40.5,42.7,62.3,50.5,89
201–250,Université Libre de Bruxelles,Belgium,"27,194",36.2,34%,56:44:00,50.1–53.7,30.2,41.5,73.6,42.7,87
201–250,University of Luxembourg,Luxembourg,"4,654",18.7,49%,51:49:00,50.1–53.7,37.9,36.5,75.8,45.2,99.7
201–250,Macquarie University,Australia,"30,234",68.6,29%,52:48:00,50.1–53.7,37.8,42.6,71.8,53.1,83.9
201–250,University of Massachusetts,United States,"61,204",13,15%,48:52:00,50.1–53.7,38.5,31.1,87,49.9,61.7
201–250,Medical University of Graz,Austria,"3,352",10.9,24%,53:47:00,50.1–53.7,30.9,25.1,91.7,62.1,74.2
201–250,Medical University of Vienna,Austria,"7,142",8.1,30%,52:48:00,50.1–53.7,33.4,23.5,90.3,53,78.8
201–250,University of Miami,United States,"15,971",6.3,16%,52:48:00,50.1–53.7,44,25.2,83.2,41.3,59.1
201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,"5,716",11.2,15%,24 : 76,50.1–53.7,53.3,45.6,47.2,99.9,58.7
201–250,Newcastle University,United Kingdom,"22,690",14.1,27%,51:49:00,50.1–53.7,31.5,36.2,85.5,41.7,87.8
201–250,University of Otago,New Zealand,"18,196",20,21%,59:41:00,50.1–53.7,30.2,32.1,84.7,37,89.8
201–250,University of Padua,Italy,"45,169",21.3,4%,55:45:00,50.1–53.7,42.5,30.9,80.2,38.4,45.1
201–250,Paris-Sud University,France,"28,726",14.5,17%,56:44:00,50.1–53.7,33.7,32.3,85.9,35.1,65.3
201–250,Queen’s University Belfast,United Kingdom,"17,745",17.2,36%,55:45:00,50.1–53.7,31.2,35.5,83.7,38.7,96.4
201–250,RCSI University of Medicine and Health Sciences,Ireland,"2,265",21.1,65%,n/a,50.1–53.7,30.1,26.9,90,47.5,93.7
201–250,University of Reading,United Kingdom,"14,105",14.9,31%,57:43:00,50.1–53.7,32.1,35.2,76.9,40.3,91.9
201–250,"St George’s, University of London",United Kingdom,"3,225",14.7,21%,62:38:00,50.1–53.7,24,22,98.2,36.9,79.6
201–250,University of South Florida (Tampa),United States,"33,885",18.9,14%,n/a,50.1–53.7,30.5,34.2,87.3,89,54.7
201–250,Tilburg University,Netherlands,"8,033",21.4,15%,50:50:00,50.1–53.7,36.8,48.8,62.1,55.9,78.2
201–250,University of Twente,Netherlands,"7,584",13.9,32%,37 : 63,50.1–53.7,35.2,46.8,55.6,85,90.8
201–250,Ulsan National Institute of Science and Technology (UNIST),South Korea,"4,127",13.9,8%,26 : 74,50.1–53.7,27.8,38.6,91.3,80.5,51.9
201–250,University College Dublin,Ireland,"22,541",23.1,29%,n/a,50.1–53.7,30.8,36.5,73.6,43.9,92.5
201–250,University of Utah,United States,"30,365",14.2,8%,47:53:00,50.1–53.7,39,34.7,86.4,48.3,33
